company,week_start,nyt_pos_share,nyt_neu_share,nyt_neg_share,NYT_mention,nyt_sentiment,nyt_non_neutral_share,num_memes,mean_meme_sentiment,meme_spike,log1p_meme_volume,iso_year,iso_week,nyt_sentiment_L1,nyt_sentiment_L2,nyt_sentiment_L3,nyt_sentiment_L4,nyt_pos_share_L1,nyt_pos_share_L2,nyt_pos_share_L3,nyt_pos_share_L4,nyt_neg_share_L1,nyt_neg_share_L2,nyt_neg_share_L3,nyt_neg_share_L4,nyt_non_neutral_share_L1,nyt_non_neutral_share_L2,nyt_non_neutral_share_L3,nyt_non_neutral_share_L4,NYT_mention_L1,NYT_mention_L2,NYT_mention_L3,NYT_mention_L4,num_memes_L1,num_memes_L2,num_memes_L3,num_memes_L4,mean_meme_sentiment_L1,mean_meme_sentiment_L2,mean_meme_sentiment_L3,mean_meme_sentiment_L4,num_memes_z,num_memes_rel
adidas,2022-12-26,,,,0,,,0,,,0.0,2022,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19709319361670838,1.0
adidas,2023-01-02,0.0007553158793598413,0.49927943492366467,0.49996526911854744,1,-0.4992099532391876,0.5007205650763353,0,,,0.0,2023,1,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,-0.19709319361670838,1.0
adidas,2023-01-09,,,,0,,,0,,,0.0,2023,2,-0.4992099532391876,,,,0.0007553158793598413,,,,0.49996526911854744,,,,0.5007205650763353,,,,1.0,0.0,,,0.0,0.0,,,,,,,-0.19709319361670838,1.0
adidas,2023-01-16,0.0013666467866021693,0.9159495661465021,0.08268379252828922,2,-0.08131714574168705,0.08405043385349786,0,,,0.0,2023,3,,-0.4992099532391876,,,,0.0007553158793598413,,,,0.49996526911854744,,,,0.5007205650763353,,,0.0,1.0,0.0,,0.0,0.0,0.0,,,,,,-0.19709319361670838,1.0
adidas,2023-01-23,0.00013910687336426975,0.999765619635582,9.532193757877394e-05,2,4.3784935785495804e-05,0.00023438036441802979,0,,,0.0,2023,4,-0.08131714574168705,,-0.4992099532391876,,0.0013666467866021693,,0.0007553158793598413,,0.08268379252828922,,0.49996526911854744,,0.08405043385349786,,0.5007205650763353,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.19709319361670838,1.0
adidas,2023-01-30,0.0006172408462135071,0.8330609574913979,0.16632180779006944,4,-0.16570456694385594,0.16693904250860214,0,,,0.0,2023,5,4.3784935785495804e-05,-0.08131714574168705,,-0.4992099532391876,0.00013910687336426975,0.0013666467866021693,,0.0007553158793598413,9.532193757877394e-05,0.08268379252828922,,0.49996526911854744,0.00023438036441802979,0.08405043385349786,,0.5007205650763353,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,-0.19709319361670838,1.0
adidas,2023-02-06,0.11734003313832349,0.8772080903872848,0.005451914709775944,8,0.11188811842854754,0.12279190961271524,0,,,0.0,2023,6,-0.16570456694385594,4.3784935785495804e-05,-0.08131714574168705,,0.0006172408462135071,0.00013910687336426975,0.0013666467866021693,,0.16632180779006944,9.532193757877394e-05,0.08268379252828922,,0.16693904250860214,0.00023438036441802979,0.08405043385349786,,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.19709319361670838,1.0
adidas,2023-02-13,9.048217179952189e-07,0.9999898672103882,9.156337000604253e-06,1,-8.251515282609034e-06,1.0132789611816406e-05,0,,,0.0,2023,7,0.11188811842854754,-0.16570456694385594,4.3784935785495804e-05,-0.08131714574168705,0.11734003313832349,0.0006172408462135071,0.00013910687336426975,0.0013666467866021693,0.005451914709775944,0.16632180779006944,9.532193757877394e-05,0.08268379252828922,0.12279190961271524,0.16693904250860214,0.00023438036441802979,0.08405043385349786,8.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,-0.19709319361670838,1.0
adidas,2023-02-20,1.6051180864451453e-05,0.07451216876506805,0.925471842288971,1,-0.9254557911081065,0.925487831234932,0,,,0.0,2023,8,-8.251515282609034e-06,0.11188811842854754,-0.16570456694385594,4.3784935785495804e-05,9.048217179952189e-07,0.11734003313832349,0.0006172408462135071,0.00013910687336426975,9.156337000604253e-06,0.005451914709775944,0.16632180779006944,9.532193757877394e-05,1.0132789611816406e-05,0.12279190961271524,0.16693904250860214,0.00023438036441802979,1.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,,-0.19709319361670838,1.0
adidas,2023-02-27,,,,0,,,0,,,0.0,2023,9,-0.9254557911081065,-8.251515282609034e-06,0.11188811842854754,-0.16570456694385594,1.6051180864451453e-05,9.048217179952189e-07,0.11734003313832349,0.0006172408462135071,0.925471842288971,9.156337000604253e-06,0.005451914709775944,0.16632180779006944,0.925487831234932,1.0132789611816406e-05,0.12279190961271524,0.16693904250860214,1.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,,,,,-0.19709319361670838,1.0
