company,weeks_total,weeks_with_sentiment,weeks_with_mention_gt0,rows_ok_L1,rows_ok_L2,rows_ok_L3,rows_ok_L4,weeks_with_sentiment_share,weeks_with_mention_gt0_share,rows_ok_L1_share,rows_ok_L2_share,rows_ok_L3_share,rows_ok_L4_share
microsoft,106,106,106,105,104,103,102,1.0,1.0,0.9905660377358491,0.9811320754716981,0.9716981132075472,0.9622641509433962
spotify,106,106,106,105,104,103,102,1.0,1.0,0.9905660377358491,0.9811320754716981,0.9716981132075472,0.9622641509433962
netflix,106,106,106,105,104,103,102,1.0,1.0,0.9905660377358491,0.9811320754716981,0.9716981132075472,0.9622641509433962
youtube,106,106,106,105,104,103,102,1.0,1.0,0.9905660377358491,0.9811320754716981,0.9716981132075472,0.9622641509433962
tesla,106,106,106,105,104,103,102,1.0,1.0,0.9905660377358491,0.9811320754716981,0.9716981132075472,0.9622641509433962
nike,106,103,103,100,97,94,91,0.9716981132075472,0.9716981132075472,0.9433962264150944,0.9150943396226415,0.8867924528301887,0.8584905660377359
starbucks,106,101,101,96,91,86,81,0.9528301886792453,0.9528301886792453,0.9056603773584906,0.8584905660377359,0.8113207547169812,0.7641509433962265
volkswagen,106,97,97,91,85,79,74,0.9150943396226415,0.9150943396226415,0.8584905660377359,0.8018867924528302,0.7452830188679245,0.6981132075471698
loreal,106,98,98,91,85,79,73,0.9245283018867925,0.9245283018867925,0.8584905660377359,0.8018867924528302,0.7452830188679245,0.6886792452830188
linkedin,106,97,97,90,84,78,72,0.9150943396226415,0.9150943396226415,0.8490566037735849,0.7924528301886793,0.7358490566037735,0.6792452830188679
toyota,106,98,98,91,84,77,70,0.9245283018867925,0.9245283018867925,0.8584905660377359,0.7924528301886793,0.7264150943396226,0.660377358490566
intel,106,94,94,82,74,66,60,0.8867924528301887,0.8867924528301887,0.7735849056603774,0.6981132075471698,0.6226415094339622,0.5660377358490566
google,106,58,58,57,56,55,54,0.5471698113207547,0.5471698113207547,0.5377358490566038,0.5283018867924528,0.5188679245283019,0.5094339622641509
instagram,106,58,58,57,56,55,54,0.5471698113207547,0.5471698113207547,0.5377358490566038,0.5283018867924528,0.5188679245283019,0.5094339622641509
facebook,106,58,58,57,56,55,54,0.5471698113207547,0.5471698113207547,0.5377358490566038,0.5283018867924528,0.5188679245283019,0.5094339622641509
apple,106,58,58,57,56,55,54,0.5471698113207547,0.5471698113207547,0.5377358490566038,0.5283018867924528,0.5188679245283019,0.5094339622641509
amazon,106,58,58,57,56,55,54,0.5471698113207547,0.5471698113207547,0.5377358490566038,0.5283018867924528,0.5188679245283019,0.5094339622641509
disney,106,58,58,57,56,55,54,0.5471698113207547,0.5471698113207547,0.5377358490566038,0.5283018867924528,0.5188679245283019,0.5094339622641509
mercedes,106,92,92,79,68,60,52,0.8679245283018868,0.8679245283018868,0.7452830188679245,0.6415094339622641,0.5660377358490566,0.49056603773584906
cocacola,106,57,57,55,53,51,49,0.5377358490566038,0.5377358490566038,0.5188679245283019,0.5,0.4811320754716981,0.46226415094339623
samsung,106,89,89,74,62,52,44,0.839622641509434,0.839622641509434,0.6981132075471698,0.5849056603773585,0.49056603773584906,0.41509433962264153
gucci,106,54,54,51,48,45,42,0.5094339622641509,0.5094339622641509,0.4811320754716981,0.4528301886792453,0.42452830188679247,0.39622641509433965
ibm,106,55,55,51,47,43,40,0.5188679245283019,0.5188679245283019,0.4811320754716981,0.44339622641509435,0.4056603773584906,0.37735849056603776
americanexpress,106,54,54,49,45,41,40,0.5094339622641509,0.5094339622641509,0.46226415094339623,0.42452830188679247,0.3867924528301887,0.37735849056603776
for,106,39,39,37,35,33,31,0.36792452830188677,0.36792452830188677,0.3490566037735849,0.330188679245283,0.3113207547169811,0.29245283018867924
ford,106,39,39,37,35,33,31,0.36792452830188677,0.36792452830188677,0.3490566037735849,0.330188679245283,0.3113207547169811,0.29245283018867924
