outcome,predictor,lag,coef,se,pval
log1p_meme_engagement,NYT_mention,0,-0.0022577746503796015,0.0022558764910098348,0.31690347692295495
log1p_meme_engagement,NYT_mention,1,0.0052807462011907865,0.0021031482443238333,0.012043170816991787
log1p_meme_engagement,NYT_mention,2,0.002475170482881626,0.0032358967078976726,0.44432500407181175
log1p_meme_engagement,NYT_mention,3,-0.003413652383890818,0.002035053292123824,0.09345910495640948
log1p_meme_engagement,NYT_mention,4,-0.001975042354313932,0.0022227970745310327,0.37425077466149315
log1p_meme_engagement,nyt_sentiment,0,-0.026856565089667904,0.03855006607517141,0.4860111145591922
log1p_meme_engagement,nyt_sentiment,1,0.014676833986126146,0.033432525174169406,0.6606625021994632
log1p_meme_engagement,nyt_sentiment,2,-0.0066136573425285596,0.035050286786739146,0.8503353708253576
log1p_meme_engagement,nyt_sentiment,3,0.02625010981570651,0.039036383853943195,0.5012957366716964
log1p_meme_engagement,nyt_sentiment,4,-0.028737337975428753,0.031581837401708376,0.3628581469398734
log1p_meme_volume,NYT_mention,0,-0.003908185053798704,0.0021992079306853785,0.07555383473664223
log1p_meme_volume,NYT_mention,1,0.004712738734225666,0.0020010489436465113,0.018516019046356136
log1p_meme_volume,NYT_mention,2,0.000896371932152135,0.0024119116922875663,0.7101581026374519
log1p_meme_volume,NYT_mention,3,-0.0034594433257211944,0.002427093873765156,0.15405783054199065
log1p_meme_volume,NYT_mention,4,-0.0024152039354456653,0.002114630987348913,0.2533959687634091
log1p_meme_volume,nyt_sentiment,0,0.004828188901905823,0.03481706826302984,0.8897085186043161
log1p_meme_volume,nyt_sentiment,1,-0.007046335143131971,0.029420409359446974,0.8107140198460343
log1p_meme_volume,nyt_sentiment,2,-0.025823463142775154,0.03371940074384569,0.4437750880603597
log1p_meme_volume,nyt_sentiment,3,0.03239392809904634,0.03848598681778873,0.399951926801729
log1p_meme_volume,nyt_sentiment,4,-0.02479250783711385,0.02882764077449984,0.3897749542670109
